date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:00	4391/4391	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Aug%202022%2012:46:00%20GMT	https://tansianuniversity.edu.ng/robots.txt		(from )
13:46:01	71661/71661	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2012:46:00%20GMT	https://tansianuniversity.edu.ng/	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/index.html	(from )
13:46:01	1406/1406	---M--	200	added ('OK')	image/x-icon	date:Sun,%2006%20May%202018%2014:57:36%20GMT	https://tansianuniversity.edu.ng/images/favicon.ico	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/images/favicon.ico	(from https://tansianuniversity.edu.ng/)
13:46:21	29727/29727	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Feb%202019%2000:17:42%20GMT	https://tansianuniversity.edu.ng/plugins/revslider/public/assets/css/settings.css	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/plugins/revslider/public/assets/css/settings.css	(from https://tansianuniversity.edu.ng/)
13:46:27	113401/113401	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Feb%202019%2000:16:14%20GMT	https://tansianuniversity.edu.ng/plugins/goodlayers-core/plugins/combine/style.css	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/plugins/goodlayers-core/plugins/combine/style.css	(from https://tansianuniversity.edu.ng/)
13:46:49	246030/246030	---M--	200	added ('OK')	image/png	date:Tue,%2005%20May%202020%2021:59:54%20GMT	http://tansianuniversity.edu.ng/upload/logo-white.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/logo-white.png	(from https://tansianuniversity.edu.ng/)
13:46:53	107883/107883	---M--	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2022:49:58%20GMT	https://tansianuniversity.edu.ng/css/kingster-style-custom.css	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/css/kingster-style-custom.css	(from https://tansianuniversity.edu.ng/)
13:46:58	47804/47804	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2012:46:56%20GMT	https://tansianuniversity.edu.ng/about.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/about.html	(from https://tansianuniversity.edu.ng/)
13:47:00	43178/43178	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2012:46:59%20GMT	https://tansianuniversity.edu.ng/courses.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/courses.html	(from https://tansianuniversity.edu.ng/)
13:47:00	120643/120643	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Feb%202019%2000:15:28%20GMT	https://tansianuniversity.edu.ng/css/style-core.css	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/css/style-core.css	(from https://tansianuniversity.edu.ng/)
13:47:03	37083/37083	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2012:47:00%20GMT	https://tansianuniversity.edu.ng/campus-tour.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/campus-tour.html	(from https://tansianuniversity.edu.ng/)
13:47:04	24691/24691	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2012:47:04%20GMT	https://tansianuniversity.edu.ng/fees.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/fees.html	(from https://tansianuniversity.edu.ng/)
13:47:06	57700/57700	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2012:47:05%20GMT	https://tansianuniversity.edu.ng/admissions.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/admissions.html	(from https://tansianuniversity.edu.ng/)
